Configuration,Average Score
"(64,)",-0.1410912953674222
"(128,)",-1.092047942162917
"(256,)",-4.077235876347741
"(128, 128)",-1.0990013184191738
"(256, 128)",-3.7437864787806516
"(256, 256)",1.967274574535041
"(512, 256, 128)",1.634489313309554
"(512, 512, 256)",0.5933620042848761
"(512, 512, 512)",-2.4065997327674884
"(1024, 512, 256)",1.564948971378643
"(1024, 1024, 512)",1.7433177413174417
"(1024, 1024, 1024)",0.12912595663424709
"(2048, 1024, 512)",1.0864288569418938
"(2048, 2048, 1024)",-0.7059768731233398
"(2048, 2048, 2048)",-0.028834620832203582
"(4096, 2048, 1024)",1.9656651399179617
"(4096, 4096, 2048)",2.2807306880098155
"(4096, 4096, 4096)",1.139525532222964
"(8192, 4096, 2048)",-0.2935874222799167
"(8192, 8192, 4096)",-2.076119693727366
"(8192, 8192, 8192)",-1.0352294232105237
"(16384, 8192, 4096)",-3.1430116075689165
"(16384, 16384, 8192)",1.270890312368897
"(16384, 16384, 16384)",0.9787542400836788
"(32768, 16384, 8192)",1.2233494285412578
"(32768, 32768, 16384)",-0.6272397427139013
"(32768, 32768, 32768)",0.5503155607706234
"(65536, 32768, 16384)",0.9137301330476257
"(65536, 65536, 32768)",0.4492697972745491
"(65536, 65536, 65536)",-0.6149398985485603
"(131072, 65536, 32768)",1.1491711259373876
"(131072, 131072, 65536)",-0.4302726085974542
"(131072, 131072, 131072)",0.9571733530470926
"(262144, 131072, 65536)",-1.7838155986480984
"(262144, 262144, 131072)",-0.6343743595814371
"(262144, 262144, 262144)",-1.2306730553931906
"(524288, 262144, 131072)",-2.8778520321847774
"(524288, 524288, 262144)",0.15986184607528162
"(524288, 524288, 524288)",0.6000470903865862
"(1048576, 524288, 262144)",1.3601618821432655
"(1048576, 1048576, 524288)",0.33001923949191464
"(1048576, 1048576, 1048576)",1.2698311275521488
